Date,Price
2024-01-01,9.6796
2024-01-02,9.6606
2024-01-03,9.558
2024-01-04,9.5373
2024-01-05,9.5872
2024-01-08,9.5416
2024-01-09,9.6165
2024-01-10,9.6305
2024-01-11,9.6294
2024-01-12,9.6008
2024-01-15,9.4881
2024-01-16,9.5057
2024-01-17,9.4125
2024-01-18,9.3716
2024-01-19,9.3287
2024-01-22,9.3606
2024-01-23,9.3506
2024-01-24,9.2868
2024-01-25,9.3472
2024-01-26,9.3466
2024-01-29,9.3771
2024-01-30,9.3892
2024-01-31,9.4155
2024-02-01,9.3935
2024-02-02,9.3768
2024-02-05,9.4766
2024-02-06,9.3196
2024-02-07,9.2843
2024-02-08,9.3169
2024-02-09,9.3124
2024-02-12,9.3763
2024-02-13,9.4424
2024-02-14,9.5107
2024-02-15,9.4151
2024-02-16,9.3897
2024-02-19,9.4223
2024-02-20,9.5276
2024-02-21,9.6103
2024-02-22,9.6704
2024-02-23,9.6648
2024-02-26,9.639
2024-02-27,9.6586
2024-02-28,9.6735
2024-02-29,9.6105
2024-03-01,9.5395
2024-03-04,9.5554
2024-03-05,9.6152
2024-03-06,9.6311
2024-03-07,9.6774
2024-03-08,9.6419
2024-03-11,9.6844
2024-03-12,9.802
2024-03-13,9.8065
2024-03-14,9.8888
2024-03-15,9.8459
2024-03-18,9.8339
2024-03-19,9.8443
2024-03-20,9.8262
2024-03-21,9.8129
2024-03-22,9.8725
2024-03-25,9.7564
2024-03-26,9.8666
2024-03-27,9.9023
2024-03-28,9.8329
2024-03-29,9.8289
2024-04-01,9.7772
2024-04-02,9.8265
2024-04-03,9.839
2024-04-04,9.8369
2024-04-05,9.859
2024-04-08,9.8244
2024-04-09,9.8654
2024-04-10,9.9519
2024-04-11,9.9503
2024-04-12,9.8674
2024-04-15,9.8527
2024-04-16,9.8205
2024-04-17,9.7042
2024-04-18,9.6614
2024-04-19,9.769
2024-04-22,9.7865
2024-04-23,9.7987
2024-04-24,9.7956
2024-04-25,9.7656
2024-04-26,9.8591
2024-04-29,9.8181
2024-04-30,9.8283
2024-05-01,9.8118
2024-05-02,9.7465
2024-05-03,9.7768
2024-05-06,9.7825
2024-05-07,9.812
2024-05-08,9.8102
2024-05-09,9.8251
2024-05-10,9.8875
2024-05-13,9.9703
2024-05-14,9.9762
2024-05-15,10.0328
2024-05-16,10.0383
2024-05-17,10.0485
2024-05-20,10.0176
2024-05-21,10.1259
2024-05-22,10.1668
2024-05-23,10.0971
2024-05-24,10.1527
2024-05-27,10.2168
2024-05-28,10.2841
2024-05-29,10.3446
2024-05-30,10.3058
2024-05-31,10.2301
2024-06-03,10.3167
2024-06-04,10.2534
2024-06-05,10.1883
2024-06-06,10.1283
2024-06-07,10.1439
2024-06-10,10.2309
2024-06-11,10.0491
2024-06-12,10.0098
2024-06-13,10.0318
2024-06-14,10.0885
